experiment,vix_floor,vix_ceiling,base_stop,hv_scale,mc_p5_dd,hedged_sharpe,annual_return_pct,passes_30pct
EXP-400,12.0,50.0,2.5,0.15,-14.55,2.699,24.92,True
EXP-400,12.0,50.0,3.0,0.15,-14.55,2.699,24.92,True
EXP-400,12.0,50.0,3.5,0.15,-14.55,2.699,24.92,True
EXP-400,14.0,46.0,1.5,0.05,-14.57,2.825,27.12,True
EXP-400,14.0,46.0,2.0,0.05,-14.57,2.825,27.12,True
EXP-400,14.0,46.0,2.5,0.05,-14.57,2.825,27.12,True
EXP-400,14.0,46.0,3.0,0.05,-14.57,2.825,27.12,True
EXP-400,14.0,46.0,3.5,0.05,-14.57,2.825,27.12,True
EXP-400,16.0,42.0,1.5,0.25,-14.57,2.826,28.74,True
EXP-400,16.0,42.0,2.0,0.25,-14.57,2.826,28.74,True
EXP-400,16.0,42.0,2.5,0.25,-14.57,2.826,28.74,True
EXP-400,16.0,42.0,3.0,0.25,-14.57,2.826,28.74,True
EXP-400,16.0,42.0,3.5,0.25,-14.57,2.826,28.74,True
EXP-400,14.0,46.0,1.5,0.1,-14.59,2.813,26.98,True
EXP-400,14.0,46.0,2.0,0.1,-14.59,2.813,26.98,True
EXP-400,14.0,46.0,2.5,0.1,-14.59,2.813,26.98,True
EXP-400,14.0,46.0,3.0,0.1,-14.59,2.813,26.98,True
EXP-400,14.0,46.0,3.5,0.1,-14.59,2.813,26.98,True
EXP-400,14.0,46.0,1.5,0.15,-14.66,2.784,26.77,True
EXP-400,14.0,46.0,2.0,0.15,-14.66,2.784,26.77,True
EXP-400,14.0,46.0,2.5,0.15,-14.66,2.784,26.77,True
EXP-400,14.0,46.0,3.0,0.15,-14.66,2.784,26.77,True
EXP-400,14.0,46.0,3.5,0.15,-14.66,2.784,26.77,True
EXP-400,14.0,46.0,1.5,0.25,-14.71,2.725,26.5,True
EXP-400,14.0,46.0,2.0,0.25,-14.71,2.725,26.5,True
EXP-400,14.0,46.0,2.5,0.25,-14.71,2.725,26.5,True
EXP-400,14.0,46.0,3.0,0.25,-14.71,2.725,26.5,True
EXP-400,14.0,46.0,3.5,0.25,-14.71,2.725,26.5,True
EXP-400,12.0,50.0,1.5,0.25,-14.74,2.646,24.7,True
EXP-400,12.0,50.0,2.0,0.25,-14.74,2.646,24.7,True
EXP-400,12.0,50.0,2.5,0.25,-14.74,2.646,24.7,True
EXP-400,12.0,50.0,3.0,0.25,-14.74,2.646,24.7,True
EXP-400,12.0,50.0,3.5,0.25,-14.74,2.646,24.7,True
EXP-400,14.0,50.0,1.5,0.05,-15.72,2.729,27.32,True
EXP-400,14.0,50.0,2.0,0.05,-15.72,2.729,27.32,True
EXP-400,14.0,50.0,2.5,0.05,-15.72,2.729,27.32,True
EXP-400,14.0,50.0,3.0,0.05,-15.72,2.729,27.32,True
EXP-400,14.0,50.0,3.5,0.05,-15.72,2.729,27.32,True
EXP-400,14.0,50.0,1.5,0.1,-15.89,2.709,27.16,True
EXP-400,14.0,50.0,2.0,0.1,-15.89,2.709,27.16,True
EXP-400,14.0,50.0,2.5,0.1,-15.89,2.709,27.16,True
EXP-400,14.0,50.0,3.0,0.1,-15.89,2.709,27.16,True
EXP-400,14.0,50.0,3.5,0.1,-15.89,2.709,27.16,True
EXP-400,14.0,50.0,1.5,0.15,-15.94,2.679,27.0,True
EXP-400,14.0,50.0,2.0,0.15,-15.94,2.679,27.0,True
EXP-400,14.0,50.0,2.5,0.15,-15.94,2.679,27.0,True
EXP-400,14.0,50.0,3.0,0.15,-15.94,2.679,27.0,True
EXP-400,14.0,50.0,3.5,0.15,-15.94,2.679,27.0,True
EXP-400,14.0,50.0,1.5,0.25,-16.04,2.642,26.76,True
EXP-400,14.0,50.0,2.0,0.25,-16.04,2.642,26.76,True
EXP-400,14.0,50.0,2.5,0.25,-16.04,2.642,26.76,True
EXP-400,14.0,50.0,3.0,0.25,-16.04,2.642,26.76,True
EXP-400,14.0,50.0,3.5,0.25,-16.04,2.642,26.76,True
EXP-400,16.0,46.0,1.5,0.05,-16.12,2.782,29.3,True
EXP-400,16.0,46.0,2.0,0.05,-16.12,2.782,29.3,True
EXP-400,16.0,46.0,2.5,0.05,-16.12,2.782,29.3,True
EXP-400,16.0,46.0,3.0,0.05,-16.12,2.782,29.3,True
EXP-400,16.0,46.0,3.5,0.05,-16.12,2.782,29.3,True
EXP-400,16.0,46.0,1.5,0.15,-16.25,2.744,29.0,True
EXP-400,16.0,46.0,2.0,0.15,-16.25,2.744,29.0,True
EXP-400,16.0,46.0,2.5,0.15,-16.25,2.744,29.0,True
EXP-400,16.0,46.0,3.0,0.15,-16.25,2.744,29.0,True
EXP-400,16.0,46.0,3.5,0.15,-16.25,2.744,29.0,True
EXP-400,16.0,46.0,1.5,0.1,-16.27,2.758,29.18,True
EXP-400,16.0,46.0,2.0,0.1,-16.27,2.758,29.18,True
EXP-400,16.0,46.0,2.5,0.1,-16.27,2.758,29.18,True
EXP-400,16.0,46.0,3.0,0.1,-16.27,2.758,29.18,True
EXP-400,16.0,46.0,3.5,0.1,-16.27,2.758,29.18,True
EXP-400,16.0,46.0,1.5,0.25,-16.3,2.688,28.6,True
EXP-400,16.0,46.0,2.0,0.25,-16.3,2.688,28.6,True
EXP-400,16.0,46.0,2.5,0.25,-16.3,2.688,28.6,True
EXP-400,16.0,46.0,3.0,0.25,-16.3,2.688,28.6,True
EXP-400,16.0,46.0,3.5,0.25,-16.3,2.688,28.6,True
EXP-400,20.0,38.0,1.5,0.05,-16.31,2.805,31.04,True
EXP-400,20.0,38.0,1.5,0.1,-16.31,2.788,30.91,True
EXP-400,20.0,38.0,2.0,0.05,-16.31,2.805,31.04,True
EXP-400,20.0,38.0,2.0,0.1,-16.31,2.788,30.91,True
EXP-400,20.0,38.0,2.5,0.05,-16.31,2.805,31.04,True
EXP-400,20.0,38.0,2.5,0.1,-16.31,2.788,30.91,True
EXP-400,20.0,38.0,3.0,0.05,-16.31,2.805,31.04,True
EXP-400,20.0,38.0,3.0,0.1,-16.31,2.788,30.91,True
EXP-400,20.0,38.0,3.5,0.05,-16.31,2.805,31.04,True
EXP-400,20.0,38.0,3.5,0.1,-16.31,2.788,30.91,True
EXP-400,18.0,42.0,1.5,0.1,-16.35,2.795,30.38,True
EXP-400,18.0,42.0,2.0,0.1,-16.35,2.795,30.38,True
EXP-400,18.0,42.0,2.5,0.1,-16.35,2.795,30.38,True
EXP-400,18.0,42.0,3.0,0.1,-16.35,2.795,30.38,True
EXP-400,18.0,42.0,3.5,0.1,-16.35,2.795,30.38,True
EXP-400,18.0,42.0,1.5,0.05,-16.37,2.808,30.5,True
EXP-400,18.0,42.0,2.0,0.05,-16.37,2.808,30.5,True
EXP-400,18.0,42.0,2.5,0.05,-16.37,2.808,30.5,True
EXP-400,18.0,42.0,3.0,0.05,-16.37,2.808,30.5,True
EXP-400,18.0,42.0,3.5,0.05,-16.37,2.808,30.5,True
EXP-400,18.0,42.0,1.5,0.15,-16.43,2.776,30.22,True
EXP-400,18.0,42.0,2.0,0.15,-16.43,2.776,30.22,True
EXP-400,18.0,42.0,2.5,0.15,-16.43,2.776,30.22,True
EXP-400,18.0,42.0,3.0,0.15,-16.43,2.776,30.22,True
EXP-400,18.0,42.0,3.5,0.15,-16.43,2.776,30.22,True
EXP-400,20.0,38.0,1.5,0.15,-16.43,2.773,30.75,True
EXP-400,20.0,38.0,2.0,0.15,-16.43,2.773,30.75,True
EXP-400,20.0,38.0,2.5,0.15,-16.43,2.773,30.75,True
